category:          keyword:


news              news,location,murder,theft,corona,	  
wish              happy,birthday,congratulation,
terrorism         bomb,attack,missile,granade,gun,bullet,
festival          diwali,ganpati,chrismas,holi,padawa,sankrant,pola
Product            mobile,moniter,keyboard,mouse,charger,watch
Engagement        ring,husband ,wife
Blog              hello,guys,i,am
game              player,run,out,hit,cricket,football,vollyball
Photograph        photo,shoot,lense,image
politics          mla,minster,cm,pm  
Polls             vote,voting card,people
Quotes            life,way,success,achievement
biological        bone,skull,toung,finger,body
chemical          acid,base
educational       tutorial,chapter,studied, passed,learn,wkt,
